id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,image,price_closed
145,5,3,6.2,3328,11797,566300,2,1522 Barnard Road,Woodstock,Attached,1850,2,Yes,No,,,No,10,Yes,Unknown,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4170045/0/60/45/a77bd289b437545301e1679e3f7e41a0/0/f9a1b09e5473b367545024853672c53a/4170045.JPG,590000
146,5,4,0.21,3469,13180,630400,0,4 Pleasant Street,Woodstock,,1850,1.5,Unknown,No,,,No,12,No,Unknown,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4498640/0/60/45/efb2ff7a4cd069a0d7988c237d8a48fe/0/caa1aff4c679b740be14eef76b822122/4498640.JPG,665000
147,7,8,4.69,4506,11442,574100,0,4548 West Woodstock Road,Woodstock,,1820,2,Yes,No,,,No,15,No,Unknown,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4405313/0/60/45/b95fff4b8dda0b9a50aeb67d47209671/0/a9c9f92fd61d58b0f1aa3b93ba81ec51/4405313.JPG,375000
148,4,3,194.05,2230,10150,940800,2,651 Pomfret Rd,Woodstock,Attached,1993,1.5,Yes,No,Brook,,,7,Yes,Yes,,Yes,Yes,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4095865/0/60/45/a0eef38ba284b22c14c66e7ca30b81af/0/1e2d9fc3917aa24a32448efdbbffb822/4095865.JPG,837500
149,4,3,0.2,3846,11722,575700,0,17 River Street,Woodstock,,1843,3,No,No,,,,10,No,No,,No,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4088088/0/60/45/defc9efd6d412d3bf2d87aefa8658cc5/0/9e233b5b52717e5f0ef1bb165d5497aa/4088088.JPG,550000
150,4,4,54.6,2851,12803,740000,2,1231 North Road,Barnard,Attached,1981,2.5,Unknown,No,,,,8,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4162601/0/60/45/99e8fd8e5ddb4c3cd2fbb4fbfdd98ad1/0/55db7b34e7a1957f428840b2c167574f/4162601.JPG,810000
151,3,3,1.05,2856,7208,441200,2,15 College Hill Rd,Woodstock,Attached,1971,1.5,Yes,No,River,176,No,10,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4358667/0/60/45/53d9901ba8fe4e09813adbcbb0ec2e7c/0/1da7c2e9716f24902baf544ff473fb3c/4358667.JPG,355000
152,4,2,0.3,2536,7703,368400,2,12 Cross,Woodstock,Detached,1903,2,Unknown,No,Brook,100,,9,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4172184/0/60/45/89d316ced9e3ef46f3ffc85bbeecb0a8/0/2504c549975f920f08fee2a0bb556435/4172184.JPG,415000
153,4,3,5.02,2922,11086,698800,3,115 Holt Way,Woodstock,Attached,2003,1.5,Yes,No,,,,6,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4237827/0/60/45/03abd175c9faca73bd828ada021e78ce/0/0f1f6ac6f9e444e1ac6385318fa63425/4237827.JPG,570000
154,6,4,5.43,4700,11372,543900,1,100 Golf Ave,Woodstock,Carport,1957,2,Yes,No,,,No,13,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4360198/0/60/45/409e374e886f481f7cfe712376105df5/0/4b8d4ea47bdbf881cc6f848db5395277/4360198.JPG,650000
155,3,3,5.49,2100,6615,316400,2,2590 South Road,Woodstock,Detached,1955,1.5,Unknown,No,,,No,6,Yes,No,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4354676/0/60/45/bb67aca7e7f186fb0f52e1a8d3c28d71/0/07fd30a1e3b681272760431cb84d95fe/4354676.JPG,335000
156,5,8,855,9500,64460,3341100,2,1152 Noah Wood Road,Woodstock,Attached,1996,2,Yes,No,Pond,,,15,Yes,No,,Yes,No,,,,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4244791/0/60/45/a24866e7857bd1db74c5dd8a5f8e0632/0/52ef2f9945757a82fdea6d5d11de8dc5/4244791.JPG,3750000
157,5,4,1,3036,7875,682500,0,6 River Street,Woodstock,,1804,1.75,Yes,No,River,,No,10,No,Yes,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4174599/0/60/45/63557ff3bde3bfafe281e6d948400937/0/68747066f5c665714349ba31d333566e/4174599.JPG,525000
158,3,3,2.25,3581,14129,776070,2,2286 Pomfret Road,Pomfret,Attached,1946,1.75,No,No,Brook,,No,9,Yes,No,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4239014/0/60/45/aa2e8066d4e8da9bd82012ceeae9b88b/0/f303222898ad26b40ca2ff7eeb5f1d9c/4239014.JPG,512500
159,3,3,0.83,1813,7781,393300,2,25.5 Prospect Street,Woodstock,Detached,1989,2,Unknown,No,,,,8,Yes,No,,No,No,,Walkout,Yes,,407000
160,3,2,21.3,2129,8275,433520,0,790 RHODES HILL ROAD,Barnard,,1970,1.75,Yes,No,,,No,7,No,No,,,Yes,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4408855/0/60/45/90c4dd6d926dd02ebbec9e0aaaa33c70/0/18195045fde95aa2ca389d3940449f09/4408855.JPG,335000
161,4,5,10.24,5600,17851,917600,2,199 Meadow Way,Woodstock,Attached,2005,1.5,Yes,No,Pond,0,No,11,Yes,No,,,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4064062/0/60/45/9c440b81bbce6723db6cffc96b645bb0/0/7a923bf2668658d1ba2435a3f62d5bad/4064062.JPG,910000
162,3,2,47.9,1280,9314,,1,7315 Hartland Hill,Woodstock,Detached,1920,1.75,No,No,,,,7,Yes,No,,No,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/2799636/0/60/45/a025daf6dae5c88c2ee93e01c5a4d711/0/4525f291586c6806eef3f73d1e4a4310/2799636.JPG,390000
163,3,2,0.1,1174,8292,434420,2,219 The Grove,Barnard,Detached,1920,2,No,Yes,Lake,165,,6,Yes,Unknown,,,No,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4154532/0/60/45/0aa97f20c2ba384dbf698963f4f00fcc/0/ee8e6aeebd07235a0999857f55c777a7/4154532.JPG,470000
164,3,3,20.04,2492,7735,397600,0,1584 Fletcher Schoolhouse Road,Woodstock,,1991,1.5,Yes,No,,,No,10,No,No,,No,Unknown,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4070101/0/60/45/9208f7c62a5059b76d404edc079c75b0/0/ce3dea30dc90253cd4ac9c0fc330d8e7/4070101.JPG,421000
165,5,3,0.79,2568,8999,430400,2,7 Slayton Terrace,Woodstock,Detached,1830,1.5,Yes,No,,,No,12,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4370565/0/60/45/adb9256f3550d8c299707e945c8dd13d/0/6ceadffee68a9d75e7909243d633c271/4370565.JPG,340000
166,3,3,2.77,2160,5396,279700,1,917 Carlton Hill Road,Woodstock,Under,1960,1,Unknown,No,,,No,7,Yes,Unknown,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4472681/0/60/45/2418d1119edde3cf6190fef96c3a4a8e/0/333fe204a4c81c5a9831ffacf2666af8/4472681.JPG,317500
167,4,4,10.86,3960,17171,890000,3,739 Westerdale Rd,Woodstock,Attached,2003,1.5,Yes,No,Brook,,No,11,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4336454/0/60/45/e46d64522846b27d006bf255ea614527/0/f14f9b116a2a6627cfaa9a712feed905/4336454.JPG,835000
168,3,3,0.25,2851,9735,504600,1,3 River Street,Woodstock,Detached,1870,2,Unknown,No,,,No,10,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4361684/0/60/45/5752357279ed38e97661d442c3dcf1d7/0/20d6edcef1444f5149821b69892f1970/4361684.JPG,550000
169,5,4,12.95,3538,19038,907100,3,1138 Peterkin Hill Rd,Woodstock,Attached,2011,2,Yes,No,,,No,11,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4465142/0/60/45/9548d06ce2187345517dd69ba15b3170/0/380c5f93fc0a96152099b5e4c8bc7c88/4465142.JPG,830000
170,3,4,181,3919, -   ,3726200,2,7500 Happy Valley Road,Woodstock,Attached,2000,1.5,Yes,No,,,,10,Yes,No,Yes,Yes,Yes,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4046810/0/60/45/67222cc7a49fedfd835173d7f9c0037e/0/ae1b33099482119140970c97326059fb/4046810.JPG,4150000
171,3,3,13.4,1934,9668,694800,2,1370 Westerdale,Woodstock,Attached,1988,2,Yes,No,,,No,5,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4238776/0/60/45/f1afb2329b5ea006248a256450e39e55/0/1009da8c7838e8254e1a627a2860e9ec/4238776.JPG,465000
172,5,2,0.2,3196,6619,311500,0,24 High Street,Woodstock,,1840,2.5,Unknown,No,,,No,9,No,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4606107/0/60/45/577ffd194cc5697a779645f84ce96f42/0/49955c17318c2292074b0a6fac8a5754/4606107.JPG,305000
173,6,5,56,3348,14962,1024540,0,166 Old Mt. Hunger Road,Barnard,,1810,2,No,No,Pond,100,No,11,No,No,Yes,Yes,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4252497/0/60/45/1fd396f4a73da23476019597770a9b7b/0/7ec28338d1255ce43aeded608bfa1588/4252497.JPG,935000
174,5,3,8.23,3406,12778,669440,2,2028 North Road,Barnard,Detached,1794,2.5,Yes,No,,,,13,Yes,No,Yes,No,Yes,,Walkout,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4227946/0/60/45/b1e0ec018dcf1c9dbb15c7fbd599af0a/0/10d81b16649bf66a8cf46a5644be7fa2/4227946.JPG,384000
