id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,image,price_closed
1,3,3,1.58,3740,11044,538200,2,591 Church Hill Road,Woodstock,Under,1970,2,Yes,No,,,No,14,Yes,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4483708/0/60/45/69420c795e4044c718421fab3017e9d5/0/29cd8eec54c397839fc82aca54411c52/4483708.JPG,495000
2,4,3,5.19,2276,13438,696500,2,354 Grove Hill Rd,Woodstock,Detached,1990,2,Yes,No,,,,9,Yes,No,,,No,,Walkout,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4157608/0/60/45/c29b52941ced6284e1cf03571082eba0/0/f4d1a4ef837907b87f83d123c1c9c0b9/4157608.JPG,540000
3,4,3,0.84,2200,6361,329700,1,4 Prospect,Woodstock,Carport,1800,2,No,No,,,,10,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4178007/0/60/45/1616b6f4240fca8dd556d51255a8e955/0/eb863508974cacb448782630ff1b6263/4178007.JPG,460000
4,3,3,15.4,2926,11829,697600,2,529 Stage Road,Pomfret,Attached,1995,2,Yes,No,Brook,,,7,Yes,No,Yes,No,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4117111/0/60/45/9bce8876e4d95aa3d2d0fc10e165c726/0/233884b859e91e17c47eff3a81e18758/4117111.JPG,500000
5,4,5,4,2817,10707,512100,2,283 Laughlin,Woodstock,Detached,1968,1.5,Yes,No,,,No,6,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4427685/0/60/45/7295d8dbe69b6b1faef37494fdddf3bc/0/f06f83fa31a7703f20bfe181d8d9d10c/4427685.JPG,605914
6,5,3,54.07,4030,,1460710,4,121 Gills Rd,Barnard,Attached,1986,1.75,Yes,No,Pond,,No,12,Yes,No,,Yes,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4472397/0/60/45/ee75598775aedaf09136caa8c54098f7/0/a9378b29d56899e67620def3aa5f7aff/4472397.JPG,1000000
7,4,4,23.8,2780,18277,756570,0,633 North Road,Barnard,,1830,2,Yes,No,,,,9,No,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4320881/0/60/45/ab190f34f53983ed7ef7833392c0a93f/0/0c78ccd18a89ac542976eca5bc24f71d/4320881.JPG,875000
8,3,3,10.33,2200,6708,,1,700 John Darling Road,Woodstock,Attached,1997,2,Yes,No,Brook,,,7,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4606304/0/60/45/97bedb4d609545a6c08d4c86c0497687/0/0fedc7fe248baf0f7c0e2dae01b2d78f/4606304.JPG,300000
9,4,4,0.29,3324,10459,731280,0,50 NORTH RD,Barnard,,1793,2.5,Yes,No,Lake,,,11,No,Unknown,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4192542/0/60/45/75b76b4e93d5b444d52bbd91d9071889/0/b00e18960a2a21477fac325b986ce12e/4192542.JPG,537500
10,5,2,1.3,3732,15047,1140000,1,37 Elm Street,Woodstock,Attached,1801,2.5,No,No,Brook,180,,11,Yes,Yes,,,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4074249/0/60/45/b5e77756f21e902e99eb7b9eb0b83da1/0/5a93000fd86caeba061fa6f5c04fd9b0/4074249.JPG,825000
11,3,3,24.1,2309,13144,681300,3,441 Spruce Way,Woodstock,Attached,1986,2,Yes,No,,,,8,Yes,No,,No,Yes,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4155696/0/60/45/8d6e9eeefbcbf2eb2051e6c8736c9526/0/f68e7253873ff815a9b2bbe6c181ff1e/4155696.JPG,680000
12,3,3,5,2940,7297,456000,2,7856 Vermont Rt 12,Barnard,Attached,1988,2,Unknown,No,,,,9,Yes,No,,No,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4064085/0/60/45/d5cf89be5de250506c5f433f8a252d07/0/a26c974dc195ebc2cadcc950faaeac7c/4064085.JPG,322000
13,4,3,163.1,4154,,1356440,3,1510 Wayside Road,Barnard,Attached,1805,2.5,No,No,Pond,,No,12,Yes,Unknown,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4485692/0/60/45/0c9d133d56db71074eadcfb000785687/0/cecd743c6589452a7ede34f85b6a6656/4485692.JPG,1450000
14,3,2,5.7,1538,7148,370500,0,4300 West Woodstock Road,Woodstock,,1988,2,Yes,No,,,No,10,No,No,,No,No,,Interior,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4453187/0/60/45/d8cc7075bfa78926f2f44244bce1f1b6/0/48dd0772e0de13ab7756a2d4fb2b8199/4453187.JPG,370000
15,4,4,43,3400,10476,916770,3,253 North Road,Barnard,Attached,2008,2,Yes,No,,,,8,Yes,No,Yes,Yes,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4087012/0/60/45/ebc7d262e414d23fcac11abea78df3ea/0/4c9caccda01e3a94f8db20f9f8502dc9/4087012.JPG,930000
16,6,7,563,4700,36389,832100,2,592 Quinn Road Road,Woodstock,Detached,1930,2,Yes,No,,,No,13,Yes,No,,Yes,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4388407/0/60/45/2ff1029b5326d3e443e86e6477a4061a/0/240fb9999fdfa4fbe9720694aac3b17f/4388407.JPG,2500000
17,4,4,23,3500,15202,834980,2,1162 Galaxy Hill,Pomfret,Detached,1800,1.5,Yes,No,,,No,9,Yes,No,Yes,No,Unknown,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4307655/0/60/45/873fc3264d560859b0fb02f63a5201d1/0/9fda08b1283b7765fe9a9b114ffd9014/4307655.JPG,700000
18,2,2,0.13,1600,8100,335200,1,79 Central Street,Woodstock,Carport,1826,2,No,No,,,,6,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4142730/0/60/45/a4f23d3dbd8521c55e04221b01ba031a/0/b7bd668071eabeb72553261219c20271/4142730.JPG,334000
19,5,4,18.7,3600,13260,687300,2,3578 Church Hill Road,Woodstock,Attached,1999,2,Yes,No,,,No,10,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4359763/0/60/45/e5164159c0823974f6e6d7c41246a0ce/0/98939ddf3d495421e8db381d78f20565/4359763.JPG,540000
20,5,5,9.39,5710,12915,832500,3,4445 South Road,Woodstock,Under,1974,2,Yes,No,Pond,,No,18,Yes,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4467518/0/60/45/3506d9e070dd2ebd38321abb623efc24/0/8af9dc17c0e1775d633ebb037133f2fd/4467518.JPG,500000
21,3,2,2.68,1720,5495,316300,1,160 Cowdrey Path,Woodstock,Detached,1968,1,Unknown,No,,,No,6,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4600858/0/60/45/6f3b957d2d60a7edbc554b6b0a38ee73/0/0486652260f82e820fb4eb2d3c471c2a/4600858.JPG,370000
22,3,3,15.4,2926,10766,591330,2,529 Stage Road,Pomfret,Attached,1995,2,Yes,No,Brook,,No,9,Yes,No,Yes,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4364548/0/60/45/fe485700184e12180a25d9ba6e118400/0/7029f679d218dc4781b0af8b6ccfc656/4364548.JPG,575000
23,3,3,41.5,3213,17153,889100,2,285 English Mills Way,Woodstock,Attached,1986,1.75,Yes,No,,,No,10,Yes,No,,Yes,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4462982/0/60/45/76805543b70200ea0a8dfe77aa151b54/0/4a0c0aed2b31791f6fa1d311a365e0c1/4462982.JPG,675000
24,1,1,67.96,1272,,2155650,2,480 Thistle Hill Road,Pomfret,Attached,1998,1,Yes,No,,,No,5,Yes,No,,,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4499848/0/60/45/8ef3f13e194876ea9769d4cbcc66100b/0/0cba88e810caddeb810cf2caa6a5d6e0/4499848.JPG,350000
25,4,4,6,3266,12637,637900,2,1548 Peterkin Hill Rd,Woodstock,Attached,1999,2.5,Yes,No,,,,10,Yes,No,,,Yes,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4068562/0/60/45/cd0269755a68db2a0716e6871d6d40c4/0/737ff082dc27371f78152afbbc6b497f/4068562.JPG,630000
26,6,5,26.19,5916,45702,1543810,1,1 High Pastures Road,Pomfret,Attached,1818,1.5,Yes,No,Pond,,,15,Yes,No,,Yes,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4178733/0/60/45/22882fcc62128e1ce8b892a2b8a884b6/0/ac8f976de4cbc2cc7912690415a9203d/4178733.JPG,1800000
27,3,2,0.17,2000,5819,301600,1,16 Lincoln Street,Woodstock,Attached,1979,2.5,Unknown,No,,,No,8,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4375454/0/60/45/e24eef5bc53220b8ec3cedb703dd330d/0/730e7c51e354cf58d352a713a4cca2bb/4375454.JPG,305000
28,2,2,4.1,1550,7069,338100,0,3827 Hartland Hill Road,Woodstock,,1914,2.5,Yes,No,Pond,,No,9,No,No,Yes,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4394353/0/60/45/5e45413f90cc94530996b354462fb2d1/0/21628abb671fb5931d677b892816d3d9/4394353.JPG,400000
29,3,3,45,2968,11660,708670,3,1000 Old Mt. Hunger Road,Barnard,Attached,1988,2,No,No,,,No,9,Yes,No,,Yes,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4220311/0/60/45/7b2f637b923c0991667436f2c2ae5d18/0/0b84d4327156315499e7d45dc15063a8/4220311.JPG,449000
30,4,3,7,3064,6736,389600,4,2876 Hartland Hill Rd,Woodstock,Attached,1807,1.5,No,No,Pond,,,14,Yes,No,,Yes,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4107754/0/60/45/e021f6dd2668de33978ac1268c4f069e/0/136f75826424da007ad6588ab78ebd91/4107754.JPG,375000
31,3,2,9.88,1800,6953,,0,6603 Dunham Hill,Woodstock,,1910,2,Yes,No,Brook,,No,9,No,Unknown,,No,Unknown,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4336867/0/60/45/b564b5ea88c2e4329e62fd2bdd16b5bb/0/c607e7564e3df67b7895806d1b0a0462/4336867.JPG,380000
32,6,8,121.39,5336,38108,2893100,2,826 Fletcher Schoolhouse Road,Woodstock,Detached,1817,3,Yes,No,,,No,15,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4180236/0/60/45/68af920437900fe1e10640e82c6564e7/0/133f2fcca5c0c832424622302bd87126/4180236.JPG,1950000
33,3,2,11.41,2016,8749,453000,2,3480 Hartland Hill Road,Woodstock,Attached,1951,1.5,Yes,No,,,,7,Yes,No,Yes,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4235815/0/60/45/deea26162f40146f4e597efa811adf70/0/d5de6a9f56df587be8f758221c1f590e/4235815.JPG,390000
34,2,2,74.89,800,4441,,0,342 Rolling Ridge Drive,Pomfret,,2004,1.5,Yes,Yes,,,,4,No,Unknown,,Yes,No,,,,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4332787/0/60/45/981db52589d4101952eac1abc67a5104/0/88752286a585a01ca4c629980ff08760/4332787.JPG,850000
35,3,3,5.5,2633,9794,513141,3,2986 Webster Hill Road,Barnard,Attached,1989,1.5,Yes,No,,,No,10,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4476404/0/60/45/979fda9dffbe687b051f214ac2b7ee60/0/167d6164b94661efb6d50d8bf6de06e6/4476404.JPG,330000
36,4,3,0.58,2101,5709,295900,1,6 Linden Hill,Woodstock,Attached,1957,1,Unknown,No,,,,7,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4229582/0/60/45/74665c3bd86eb0def39ef7aaae7a8000/0/4c564686ffb4384e09c0aeecc30eef25/4229582.JPG,338000
37,3,2,11.46,1862,7627,372900,2,3004 Stage Road,Barnard,Attached,1984,2,Yes,No,,,No,7,Yes,No,,No,Yes,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4504956/0/60/45/3749f6b9ffeee16fbb831f4993a5803a/0/f3d874b2927ed1c5756af1c588a5b1f4/4504956.JPG,385000
38,3,4,9.02,4320,12542,657080,2,1523 Royalton Turnpike,Barnard,Attached,2005,2,Yes,No,,,,9,Yes,No,,,Unknown,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4190199/0/60/45/b1ae55bdae3ff22e42b37624f764a245/0/1664c068b1bcb9feffd090760349df9e/4190199.JPG,670000
39,5,4,2.84,3284,8792,384300,2,2605 Cox District Rd,Woodstock,Attached,1978,1.5,Unknown,No,,,,12,Yes,No,Yes,,Yes,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4072273/0/60/45/1fa897ccced572f8fb8a8ea4bc8387d9/0/b22220641967bebf8d29e712c0ff202e/4072273.JPG,372500
40,6,5,13.7,3100,23572,908270,4,501 Galaxy Hill Road,Pomfret,Detached,1850,1.5,Yes,No,,,No,9,Yes,No,,Yes,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4233101/0/60/45/cd3ad5da1b6a1ef1769b3943bccc279a/0/1cfc965e9f46d9abef2a46ee2ab49ee6/4233101.JPG,1562500
41,4,3,55.57,2898,9339,489310,1,7408 Route 12,Barnard,Detached,1850,1.5,Unknown,No,Pond,,No,11,Yes,Unknown,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4370869/0/60/45/51cc995808fec095ab8e7188066d993e/0/e41c7f908c5e99e0ea80ab5d735c235c/4370869.JPG,305000
42,4,4,6.71,4603,19463,930900,2,915 Carlton Hill Road,Woodstock,Attached,2008,3,Yes,No,,,No,12,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4432438/0/60/45/fca66b7ac4f3f94c4f126fcc5f712404/0/053b140b212c4cf6fb2569572d7bb8ed/4432438.JPG,924500
43,4,5,0.89,4000,14691,,2,4 Pine St.,Woodstock,Attached,2007,2,Yes,No,,,No,11,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/2778778/0/60/45/66b9a988382fefc85fbf0c5806f0cc65/0/33f89f64ff366781adde49ade11132f0/2778778.JPG,737500
44,3,2,0.2,2136,9567,530000,0,77 Central Street,Woodstock,,1826,1.5,Unknown,No,,,No,10,No,Unknown,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4191453/0/60/45/ffa61333ed8b7acfa33dbae72b4d19fe/0/c0d61af1bd846bb1a73c785a3ffe83d3/4191453.JPG,490000
45,3,4,4.2,4312,9367,485500,3,400 Hall Circle,Woodstock,Attached,2001,2,No,No,,,No,12,Yes,No,,,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4338559/0/60/45/910dd740c8352f92149ca27832818777/0/4bf1c0d5d3a818a66ea22498a38c912e/4338559.JPG,445500
46,3,2,3.07,2087,6751,322900,1,2416 Cox District Road,Woodstock,Carport,1972,2,No,No,,,No,9,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4425093/0/60/45/2e887e9a271be2cb8df4321137221577/0/3541190c8566e11c64cfe6faf9f726dd/4425093.JPG,312000
47,3,2,5,1232,6237,,2,2111 Austin Road,Woodstock,Attached,1987,1,Yes,No,,,,6,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4143005/0/60/45/09d08a7f9858e6ce7e4436ed10edd5da/0/bfc41ba9dfdac6a95115615d38b8b9d7/4143005.JPG,320000
48,3,3,5.06,3531,10372,537600,0,1021 Randall Road,Woodstock,,2000,1.5,Yes,No,Pond,,No,10,No,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4168479/0/60/45/66008769db305a919df984d5f2a2a176/0/bed2d6e1450c12d28c38f0bf52657a5e/4168479.JPG,425000
49,4,3,5.52,2404,9446,535500,0,206 Meoki Way,Woodstock,,2011,2,Yes,No,,,No,10,No,No,,,Yes,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4507491/0/60/45/92283098421dda10426f7646fc7188a7/0/4ce3ef3f229425dd34aacfacee089db4/4507491.JPG,600000
50,4,3,0.27,2610,7254,333500,2,10 Maple Street,Woodstock,Attached,1900,2.5,Yes,No,,,No,9,Yes,Yes,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4500712/0/60/45/05446bede0170c303e9936c82b79ed0b/0/2173206490378045308c989defc67d64/4500712.JPG,425000
51,4,1,47.5,1896,12114,627900,0,63 Brooks Bungalow Road,Woodstock,,1830,2,Yes,No,,,No,9,No,No,Yes,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4449973/0/60/45/37c79740200ef88355f1ea5e04935924/0/c7da8c0426736a2206eb6074581cca0f/4449973.JPG,500000
52,4,4,249.5,4740, -   ,3886250,3,1710 Wild Apple Road,Pomfret,Attached,1992,2.5,Yes,No,,,No,12,Yes,No,Yes,Yes,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4380367/0/60/45/65907363f4f77b74b7348f45e1325434/0/02f50b89e4a6f61745a4c1520e01a025/4380367.JPG,3400000
53,3,3,2.8,3046,10434,540800,0,204 Willow Brook Road,Woodstock,,1995,2,Unknown,No,,,,9,No,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4171906/0/60/45/dc0efaba8ae7c7017472b66198aaf9a8/0/cb88aff3c544cb2946f1cb175b7c177f/4171906.JPG,435000
54,4,3,0.38,2928,8137,462500,0,5 Stanton Street,Woodstock,,1840,2,Unknown,No,,,No,11,No,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4354471/0/60/45/5773eebd6dd19b2355e263cacc2e5825/0/ce79faa285dc01472ccc7a83b053b064/4354471.JPG,409500
55,3,3,10.43,2848,12301,637600,3,1763 Cox District Road,Woodstock,Detached,2007,1.5,Yes,No,,,No,9,Yes,No,,No,No,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4421615/0/60/45/3f62f71c53df0dd53b91912a39eed5b1/0/b284a51db3ae7e82d33675fb2bc2fefd/4421615.JPG,922800
56,2,2,5.39,1854,7955,412300,0,314 Meadow Way,Woodstock,,2007,2,Yes,No,,,,6,No,No,Yes,,Yes,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4225849/0/60/45/6a217e5c757b5efe9f6be899b07a1848/0/bc057ae63bbd1888fa42c4fac5cb63fc/4225849.JPG,470000
57,4,3,20.69,4309,12317,676550,2,738 Stage Rd,Pomfret,Attached,1780,1.5,Yes,No,Brook,,No,9,Yes,Yes,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4424710/0/60/45/866fcacda074233c40bb1f05b7d07493/0/77f2b78d9cc8b18d76eb12ae20274c12/4424710.JPG,520309
58,5,2,0,2344,7243,375400,0,12 Maple Street,Woodstock,,1900,2,Yes,No,,,,8,No,Yes,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4149711/0/60/45/8988a052439f70e7e63b178473428e1c/0/90924964744afc5a49c6fc4ba895056c/4149711.JPG,432000
59,4,5,2.61,4050,16923,,2,798 Thomas Hill Rd,Woodstock,Attached,1872,1.5,No,No,,,No,8,Yes,No,,No,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/2783993/0/60/45/fbdbc2f5bdcc508c4808b4b31db8fa0b/0/68d33fc4a548171483a591675f41a8d0/2783993.JPG,750000
60,4,3,5,3140,11543,598300,2,273 Tilly Way,Woodstock,Attached,1985,2.5,Yes,No,,,No,11,Yes,No,,No,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4431839/0/60/45/a38f50b59b78fea43ec778fcdfccb8d1/0/31a367786619932827a7fef7bf1c1e80/4431839.JPG,459000
61,3,3,2.3,1807,12614,660890,0,134 North Road,Barnard,,1981,2,Unknown,Unknown,Lake,455,,6,No,Unknown,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4165606/0/60/45/d382c489dad64c569798daa50ad88948/0/4b71f23119e1688cace6ebe1d5e2d81a/4165606.JPG,700000
62,4,3,0.39,2734,8080,418800,2,27 Linden Hill,Woodstock,Detached,1870,1.5,Yes,No,,,,8,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4174428/0/60/45/c7d096c3f46aa2bf297fd779f41e5cea/0/8f758c6511c06661ba79ce4ee31c5b76/4174428.JPG,410000
63,3,2,2.5,2960,7643,373690,2,117 South Perry Road,Barnard,Attached,1850,2,Yes,No,,,No,7,Yes,No,,,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4506839/0/60/45/6b867c67463de14796f46197ae78dbfd/0/97e8023498f334a46987b965ba4a424a/4506839.JPG,315000
64,3,3,0.13,2184,5448,282400,0,10 Lincoln St,Woodstock,,1870,1.5,No,No,,,No,7,No,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4347716/0/60/45/41f7f6c30eb882b8c871f2988ece63e1/0/fa8dcacfe0c4f80548a40ae25139c15e/4347716.JPG,320000
65,3,2,0.55,2200,7259,347200,2,14 College Hill Rd,Woodstock,Detached,1910,1.5,No,No,,,,8,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4314175/0/60/45/9281c0704dbddbd6775fd325942b8a01/0/2fb0c9c979a69dd6d69d9add1354d15a/4314175.JPG,439000
66,3,2,4.65,2100, -   ,393470,2,659 Barber Hill,Pomfret,Detached,1850,1.5,Yes,No,,,No,7,Yes,No,Yes,,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4512941/0/60/45/9434834ba706b84f7fdbd07c96e7e88a/0/0894588a7608d6631564b8fce84f108f/4512941.JPG,300000
67,3,4,0.86,2866,9062,481300,2,27 Gardner Way,Woodstock,Attached,1991,1.5,Yes,No,,,No,9,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/2827215/0/60/45/2f3326abf930a093ab2ef323b2e7b3c8/0/d3f2a8208173d143bbf2cfc9ed5cc15a/2827215.JPG,375000
68,3,2,0.18,2164,7542,390900,2,7 Highland Ave,Woodstock,Attached,2003,1.5,Yes,No,,,No,7,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4417390/0/60/45/8c70ec36c912e3812c37cccc3be2bca1/0/768a3de03f4e9e69b968e5f9cac0e527/4417390.JPG,375000
69,1,1,76.61,1118,10137,525400,2,345 Gabert Road,Woodstock,Attached,1850,1.5,Yes,No,Brook,,No,6,Yes,No,,Yes,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4319796/0/60/45/80c9c35ae9c2a97708f3b8f3a5e610f4/0/5d949253ca7998af060fbfe2a6e65d99/4319796.JPG,515000
70,4,4,65,5904,29997,1647620,2,524 Old Farm Road,Pomfret,Attached,2008,2.5,Yes,No,,,,11,Yes,No,,No,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4236354/0/60/45/51ef556feddedcbc6d9b12d68e7ae6c2/0/d30e3d2e06db454ead1c40ff28d5493b/4236354.JPG,1725000
71,4,3,0.23,2560,9022,431500,0,4 Church St,Woodstock,,1823,1.5,No,No,,,No,10,No,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4468172/0/60/45/c0439e4ff4ee5f63283e21957d113054/0/d6d74cd5d44b85f106dc0f33191a1b0f/4468172.JPG,332500
72,4,2,38,2680,30855,1694780,0,263 Barber Hill Road,Pomfret,,1989,2.5,Yes,No,,,No,8,No,No,,Yes,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4252838/0/60/45/abbc09675ac4a66d8c8b34592b6e34a3/0/fe7a8d7c9cc3cc2773c64f259e2608f3/4252838.JPG,1041900
73,3,3,11,1912,9211,462760,2,635 Bowman Road,Barnard,Detached,1973,1.75,No,No,,,No,6,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4515526/0/60/45/34c015ed3cc36533017ead52376d6208/0/684ef816a72e32ad7af54c21c7ad16af/4515526.JPG,485000
74,2,3,1.09,1336,5844,226200,0,11B College Hill Rd.,Woodstock,,2003,2,Yes,No,River,271,,6,No,No,,,No,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4241998/0/60/45/ba9275d8676c13d72c2720075320b195/0/6a11c0f8ce01665e1666f45e2e7bb32a/4241998.JPG,385000
75,4,2,14.23,2334,11927,655090,0,1407 Joe Ranger Road,Pomfret,,2005,2,Yes,No,,,No,9,No,Unknown,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4503398/0/60/45/c03d7c392ad8217feac229ab82f8beb6/0/8d699504df295869a2b6339e78e5653c/4503398.JPG,485000
76,3,2,5.17,1426,7882,433400,0,6 Border Lane,Woodstock,,1960,1,Unknown,No,,,,5,No,No,,No,Yes,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4136682/0/60/45/93662a0f26a48a078d114031676a8184/0/da907ecc19ebe67fa7ab5ef896914a6a/4136682.JPG,350000
